음식명,종류
강아지풀,곡물
귀리,곡물
기장,곡물
밀,곡물
벼,곡물
보리,곡물
사탕수수,곡물
수수,곡물
옥수수,곡물
율무,곡물
줄,곡물
테프,곡물
포니오,곡물
피,곡물
호밀,곡물
강낭콩,곡물
녹두,곡물
대두,곡물
동부,곡물
땅콩,견과류
렌틸,곡물
병아리콩,곡물
서리태,곡물
완두,곡물
작두콩,곡물
팥,곡물
메밀,곡물
아마란스,곡물
치아,곡물
퀴노아,곡물
갈릭넛,견과류
개암나무,견과류
도토리,견과류
마카다미아,견과류
밤,견과류
브라질너트,견과류
아마씨,견과류
아몬드,견과류
은행,견과류
잣,견과류
캐슈넛,견과류
피스타치오,견과류
피칸,견과류
해바리기씨,견과류
헤이즐넛,견과류
호두,견과류
호박씨,견과류
마늘,향신채
대파,향신채
쪽파,향신채
달래,향신채
생강,향신채
강황,향신채
와사비,향신채
겨자,향신채
갓,향신채
냉이,향신채
고수,향신채
딜,향신채
아니스,향신채
파슬리,향신채
회향,향신채
후추,향신채
고추,향신채
깻잎,향신채
치커리,향신채
계피,향료
바닐라,향료
샤프란,향료
육두구(메이스),향료
라벤더,허브
박하,허브
로즈마리,허브
캐모마일,허브
재스민,허브
레몬밤,허브
타임,허브
월계수,허브
바질,허브
오레가노,허브
세이지,허브
개박하,허브
스테비아,허브
캐러멜 색소,색소
다시다,인공조미료
사카린,인공조미료
아스파탐,인공조미료
자이리톨,인공조미료
MSG,인공조미료
수크랄로스,인공조미료
스테비오사이드,인공조미료
삼차뷰틸하이드로퀴논,산화방지제
베이킹 파우더,팽창제
탄산수소나트륨,팽창제
참치통조림,가공식품
고추참치,가공식품
대두단백,가공식품
밀고기,가공식품
게맛살,가공식품
핫바,가공식품
유부,가공식품
냉동식품,가공식품
레토르트 식품,가공식품
시리얼,가공식품
만두,가공식품
참치마요,가공식품
에너지바,가공식품
두유,가공식품
아몬드밀크,가공식품
마가린,가공식품
미숫가루,가공식품
면,가공식품
커피,식품
초콜릿,식품
코코아,식품
과자,식품
아이스크림,식품
빵,식품
떡,식품
감자,채소류
고구마,채소류
고사리,채소류
당근,채소류
무,채소류
배추,채소류
브로콜리,채소류
상추,채소류
아스파라거스,채소류
양배추,채소류
오이,채소류
콩나물,채소류
숙주나물,채소류
케일,채소류
토마토,채소류
단호박,채소류
우엉,채소류
연근,채소류
마,채소류
야콘,채소류
가지,채소류
파프리카,채소류
양파,채소류
시금치,채소류
부추,채소류
미나리,채소류
쑥갓,채소류
셀러리,채소류
쇠고기,육류
돼지고기,육류
닭고기,육류
양고기,육류
오리고기,육류
칠면조,육류
염소고기,육류
쥐고기,육류
프레스햄,가공육
런천미트,가공육
푸딩 햄,가공육
혼합소시지,가공육
프로슈토,가공육
하몬,가공육
스팸,가공육
살라미,가공육
비엔나 소시지,가공육
염장고기,가공육
육포,가공육
콘비프,가공육
판체타,가공육
관찰레,가공육
페미컨,가공육
보르츠,가공육
베이컨,가공육
볼로냐,가공육
앙두이,가공육
초리소,가공육
프레준투,가공육
핫도그,가공육
훠투이,가공육
차슈,가공육
우유,유제품
치즈,유제품
버터,유제품
요거트,유제품
연유,유제품
분유,유제품
생크림,유제품
휘핑크림,유제품
사워크림,유제품
버터밀크,유제품
사과,과일
키위,과일
망고,과일
감,과일
멜론,과일
수박,과일
바나나,과일
블루베리,과일
오렌지,과일
복숭아,과일
배,과일
파인애플,과일
산딸기,과일
딸기,과일
라즈베리,과일
구아바,과일
대추,과일
두리안,과일
람부탄,과일
망고스틴,과일
매실,과일
머루,과일
모과,과일
무화과,과일
체리,과일
복분자,과일
보리수,과일
살구,과일
애플망고,과일
용과,과일
자두,과일
참외,과일
코코넛,과일
파파야,과일
포도,과일
블랙베리,과일
크랜베리,과일
오징어,해산물
문어,해산물
낙지,해산물
쭈꾸미,해산물
꽃게,해산물
대게,해산물
새우,해산물
바닷가재,해산물
가리비,해산물
꼬막,해산물
바지락,해산물
조개류,해산물
굴,해산물
소라,해산물
전복,해산물
홍합,해산물
